Tiempo(s),Voltaje(V)
0,7.73
1,7.72
2,7.72
3,7.71
4,7.71
5,7.70
6,7.69
7,7.69
8,7.69
9,7.68
10,7.67
11,7.67
12,7.67
13,7.54
14,7.24
15,6.97
16,6.57
17,6.32
18,6.08
19,5.74
20,5.52
21,5.31
22,5.02
23,4.83
24,4.56
25,4.39
26,4.22
27,3.99
28,3.84
29,3.70
30,3.49
31,3.36
32,3.24
33,3.06
34,2.95
35,2.84
36,2.68
37,2.58
38,2.49
39,2.35
40,2.26
41,2.14
42,2.06
43,1.98
44,1.88
45,1.81
46,1.74
47,1.65
48,1.59
49,1.53
50,1.45
51,1.40
52,1.34
53,1.27
54,1.23
55,1.18
56,1.12
57,1.08
58,1.02
59,0.99
60,0.95
61,0.90
62,0.87
63,0.84
64,0.79
65,0.76
66,0.74
67,0.70
68,0.67
69,0.65
70,0.61
71,0.59
72,0.57
73,0.54
74,0.52
75,0.50
76,0.48
77,0.46
78,0.44
79,0.42
80,0.41
81,0.38
82,0.37
83,0.36
84,0.34
85,0.33
86,0.32
87,0.30
88,0.29
89,0.28
90,0.27
91,0.26
92,0.25
93,0.24
94,0.23
95,0.22
96,0.21
97,0.20
98,0.19
99,0.19
100,0.18
101,0.17
102,0.16
103,0.16
104,0.15
105,0.15
106,0.14
107,0.14
108,0.13
109,0.12
110,0.12
111,0.12
112,0.11
113,0.11
114,0.10
115,0.10
116,0.10
117,0.09
118,0.09
119,0.09
120,0.08
121,0.08
122,0.08
123,0.07
124,0.07
125,0.07
126,0.07
127,0.06
128,0.06
129,0.06
130,0.06
131,0.06
132,0.05
133,0.05
134,0.05
135,0.05
136,0.05
137,0.04
138,0.04
139,0.04
140,0.04
141,0.04
142,0.04
143,0.04
144,0.04
145,0.03
146,0.03
147,0.03
148,0.03
149,0.03
150,0.03
151,0.03
152,0.03
153,0.03
154,0.03
155,0.03
156,0.02
157,0.02
158,0.02
159,0.02
160,0.02
161,0.02
162,0.02
163,0.02
164,0.02
165,0.02
166,0.02
167,0.02
168,0.02
169,0.02
170,0.02
171,0.01
172,0.02
173,0.01
174,0.01
175,0.01
176,0.01
177,0.01
178,0.01
179,0.01
180,0.01
181,0.01
182,0.01
183,0.01
184,0.01
185,0.01
186,0.01
187,0.01
188,0.01
189,0.01
190,0.01
191,0.01
192,0.01
193,0.01
194,0.01
195,0.01
196,0.01
197,0.01
198,0.01
199,0.01
200,0.01
201,0.01
202,0.01
203,0.01
204,0.01
205,0.01
206,0.01
207,0.01
208,0.01
209,0.01
